City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ola,59.5833,151.2833,17.86,84,56,2.47,RU,1686269377
1,frankfurt (oder),52.3471,14.5506,18.05,65,82,2.24,DE,1686269377
2,longyearbyen,78.2186,15.6401,1.91,75,75,3.09,SJ,1686269377
3,grand baie,-20.0182,57.5802,21.92,78,2,4.99,MU,1686269377
4,cooper's town,26.8667,-77.5167,27.67,76,62,6.14,BS,1686269377
5,puerto natales,-51.7236,-72.4875,-0.1,88,10,2.14,CL,1686269377
6,albany,42.6001,-73.9662,15.23,81,95,1.96,US,1686269377
7,yellowknife,62.456,-114.3525,13.99,58,34,4.49,CA,1686269377
8,pandan,14.0453,124.1694,29.0,72,74,3.46,PH,1686269378
9,lebu,-37.6167,-73.65,11.1,78,100,7.05,CL,1686269378
10,tiksi,71.6872,128.8694,10.32,62,43,4.59,RU,1686269253
11,blackmans bay,-43.0167,147.3167,9.29,71,63,3.78,AU,1686269378
12,edinburgh of the seven seas,-37.0676,-12.3116,14.69,71,43,11.31,SH,1686269378
13,adamstown,-25.066,-130.1015,21.68,62,0,6.78,PN,1686269378
14,kumeny,58.1089,49.9161,6.13,89,13,0.97,RU,1686269378
15,north ward,-19.2454,146.8075,23.95,69,5,2.57,AU,1686269379
16,port alfred,-33.5906,26.891,16.21,65,18,1.79,ZA,1686269379
17,papatowai,-46.5619,169.4708,7.83,77,16,2.45,NZ,1686269379
18,el porvenir,13.7617,-87.3458,27.63,87,100,1.45,HN,1686269379
19,enewetak,11.3474,162.3373,27.73,77,84,7.4,MH,1686269379
20,tucuma,-0.1833,-50.05,24.92,93,13,2.45,BR,1686269379
21,buka,40.8108,69.1986,24.92,21,4,2.5,UZ,1686269379
22,prainha,-1.8,-53.48,23.93,93,56,1.28,BR,1686269380
23,ust-nera,64.5667,143.2,15.7,55,18,0.46,RU,1686269380
24,la passe,45.5549,-0.8967,21.13,90,97,3.49,FR,1686269380
25,zhalantun,48.0,122.7167,15.98,64,99,5.71,CN,1686269380
26,punta arenas,-53.15,-70.9167,1.8,76,11,3.45,CL,1686269337
27,leava,-14.3,-178.1667,27.95,76,24,3.09,WF,1686269381
28,gogosu,44.3739,22.5931,15.73,86,100,1.64,RO,1686269381
29,saint-leu,-21.15,55.2833,22.46,92,4,1.63,RE,1686269381
30,santa ana de yacuma,-13.75,-65.4333,25.14,77,34,1.55,BO,1686269381
31,olonkinbyen,70.9221,-8.7187,2.35,98,100,8.35,SJ,1686269381
32,san andres,12.5847,-81.7006,30.01,74,20,2.06,CO,1686269381
33,college,64.8569,-147.8028,22.18,51,75,2.57,US,1686269381
34,west island,-12.1568,96.8225,26.99,78,75,9.77,CC,1686269382
35,lompoc,34.6391,-120.4579,23.9,74,90,3.58,US,1686269236
36,ushuaia,-54.8,-68.3,-3.24,92,8,1.31,AR,1686269382
37,visby,57.6409,18.296,11.13,66,20,4.63,SE,1686269322
38,margaret river,-33.95,115.0667,12.56,73,3,1.51,AU,1686269382
39,port-aux-francais,-49.35,70.2167,4.78,67,78,7.74,TF,1686269383
40,luderitz,-26.6481,15.1594,13.03,80,0,2.09,NA,1686269383
41,el calafate,-50.3408,-72.2768,-1.39,77,60,3.63,AR,1686269383
42,francisco sa,-16.4758,-43.4883,18.88,52,15,3.05,BR,1686269383
43,luena,-11.7833,19.9167,15.14,55,28,1.34,AO,1686269383
44,hermanus,-34.4187,19.2345,14.33,87,74,4.6,ZA,1686269383
45,aktau,43.65,51.2,16.32,41,8,5.32,KZ,1686269383
46,saldanha,-33.0117,17.9442,14.31,89,71,0.95,ZA,1686269384
47,tazovsky,67.4667,78.7,2.76,72,79,5.93,RU,1686269384
48,tionk essil,12.7856,-16.5217,25.92,79,5,4.51,SN,1686269384
49,sergeyevka,53.88,67.4158,15.64,60,100,1.86,KZ,1686269384
50,talnakh,69.4865,88.3972,7.53,80,100,4.65,RU,1686269384
51,la paz,-16.5,-68.15,6.8,39,0,1.35,BO,1686269384
52,waitangi,-43.9535,-176.5597,9.9,78,60,0.45,NZ,1686269385
53,tromso,69.6496,18.957,4.01,87,100,2.57,NO,1686269385
